scope,features,window,days,model,n_train,rps,rps_lo,rps_hi,hpo_degenerate,tuning_fits,params
onestep,best,8y,2922,LogReg,7279,0.1681764716180201,0.16817054506172044,0.16818239817431976,false,36,"{""C"": 0.1, ""penalty"": ""l1"", ""max_iter"": 2000}"
onestep,best,1mo,30,TabICL,57,0.18207060696683056,0.18207060696683056,0.18207060696683056,false,0,{}
onestep,best,6mo,182,TabICL,628,0.16889656436183614,0.16889656436183614,0.16889656436183614,false,0,{}
onestep,best,1y,365,TabICL,1115,0.16883727585095837,0.16883727585095837,0.16883727585095837,false,0,{}
onestep,best,2y,730,TabICL,1462,0.1690001271580063,0.1690001271580063,0.1690001271580063,false,0,{}
onestep,best,5y,1826,TabICL,4464,0.16795021802596194,0.16795021802596194,0.16795021802596194,false,0,{}
onestep,best,8y,2922,TabICL,7279,0.1677761784540241,0.1677761784540241,0.1677761784540241,false,0,{}
onestep,best,1mo,30,TabPFN,57,0.17081475660965012,0.17081475660965012,0.17081475660965012,false,0,{}
onestep,best,6mo,182,TabPFN,628,0.16844153130369427,0.16844153130369427,0.16844153130369427,false,0,{}
onestep,best,1y,365,TabPFN,1115,0.1690900162926273,0.1690900162926273,0.1690900162926273,false,0,{}
onestep,best,2y,730,TabPFN,1462,0.16906336417610174,0.16906336417610174,0.16906336417610174,false,0,{}
onestep,best,5y,1826,TabPFN,4464,0.16754016466554833,0.16754016466554833,0.16754016466554833,false,0,{}
onestep,best,8y,2922,TabPFN,7279,0.16789488712949974,0.16789488712949974,0.16789488712949974,false,0,{}
onestep,best,1mo,30,XGBoost,57,0.18489956709951488,0.1845719326516307,0.18522720154739908,true,0,"{""max_depth"": 2, ""reg_lambda"": 10.0, ""n_estimators"": 200, ""learning_rate"": 0.05, ""min_child_weight"": 5, ""subsample"": 0.8}"
onestep,best,6mo,182,XGBoost,628,0.17272023820485718,0.17232347198564252,0.17311700442407185,false,30,"{""n_estimators"": 400, ""max_depth"": 2, ""learning_rate"": 0.01699897838270077, ""min_child_weight"": 1, ""reg_lambda"": 5.3994844097874335, ""subsample"": 0.8404460046972835}"
onestep,best,1y,365,XGBoost,1115,0.17275077664509833,0.17251337857309984,0.17298817471709682,false,30,"{""n_estimators"": 400, ""max_depth"": 2, ""learning_rate"": 0.01699897838270077, ""min_child_weight"": 1, ""reg_lambda"": 5.3994844097874335, ""subsample"": 0.8404460046972835}"
onestep,best,2y,730,XGBoost,1462,0.1715237523488368,0.1712297753664643,0.17181772933120928,false,30,"{""n_estimators"": 400, ""max_depth"": 2, ""learning_rate"": 0.01699897838270077, ""min_child_weight"": 1, ""reg_lambda"": 5.3994844097874335, ""subsample"": 0.8404460046972835}"
onestep,best,5y,1826,XGBoost,4464,0.16895724301737133,0.16878871901859782,0.16912576701614485,false,30,"{""n_estimators"": 400, ""max_depth"": 2, ""learning_rate"": 0.01699897838270077, ""min_child_weight"": 1, ""reg_lambda"": 5.3994844097874335, ""subsample"": 0.8404460046972835}"
onestep,best,8y,2922,XGBoost,7279,0.1688972159080914,0.16878763800465918,0.16900679381152361,false,30,"{""n_estimators"": 400, ""max_depth"": 2, ""learning_rate"": 0.01699897838270077, ""min_child_weight"": 1, ""reg_lambda"": 5.3994844097874335, ""subsample"": 0.8404460046972835}"
onestep,few,1mo,30,CatBoost,57,0.18177036504533617,0.18138725169494876,0.18215347839572357,true,0,"{""depth"": 3, ""l2_leaf_reg"": 10.0, ""iterations"": 200, ""learning_rate"": 0.05}"
onestep,few,6mo,182,CatBoost,628,0.17168948172268766,0.17116612615588223,0.1722128372894931,false,30,"{""iterations"": 400, ""depth"": 3, ""learning_rate"": 0.01699897838270077, ""l2_leaf_reg"": 1.1430983876313219}"
onestep,few,1y,365,CatBoost,1115,0.1708070510379515,0.17039248328127143,0.17122161879463155,false,30,"{""iterations"": 400, ""depth"": 3, ""learning_rate"": 0.01699897838270077, ""l2_leaf_reg"": 1.1430983876313219}"
onestep,few,2y,730,CatBoost,1462,0.17058682046376838,0.17029379278069873,0.17087984814683804,false,30,"{""iterations"": 400, ""depth"": 3, ""learning_rate"": 0.01699897838270077, ""l2_leaf_reg"": 1.1430983876313219}"
